id,module,code,subtopic,type,archetype,difficulty,depth,reviewStatus,version,correctAnswers,stem
A-ENERGY-016,arch_perf_model,A,Energy per operation / power constraints,multiple,concept_boundary,3,textbook,agent_reviewed,1,A|B,"Survey figures (Sze et al., cited widely from Horowitz's ISSCC 2014 numbers) place DRAM access energy roughly 2–3 orders of magnitude above an on-chip multiply-add. Which of the following implications are correct for accelerator/DNN energy analysis? (Select all that apply.)"
A-HIER-020,arch_perf_model,A,Memory hierarchy ordering (latency, bandwidth, capacity),multiple,concept_boundary,3,implementation,agent_reviewed,1,B|C|D,"Which statements about the NVIDIA GPU memory hierarchy (Ampere/Hopper) are correct? (Select all that apply.)"
A-ILP-030,arch_perf_model,A,Little's Law / ILP + MLP requirements for latency hiding,multiple,performance_diagnosis,4,implementation,agent_reviewed,1,A|C|D,"Consider a memory-bound GPU kernel. Which of the following statements correctly apply Little's Law to reasoning about latency hiding? (Select all that apply.)"
A-INTENSE-019,arch_perf_model,A,Batch effect on arithmetic intensity,single,formula_performance,3,implementation,agent_reviewed,1,B,"A transformer linear layer Y = X · W with W ∈ ℝ^{4096×4096} FP16 has an effective batch dimension B (e.g., #tokens in a step). Weight W is streamed once from HBM per launch; X and Y are proportional to B. Ignoring caching outside of W's single-pass streaming, how does arithmetic intensity (FLOP / bytes) scale with B?"
A-LAUNCH-015,arch_perf_model,A,Kernel launch overhead / short-kernel Amdahl,multiple,formula_performance,3,systems,agent_reviewed,1,B|C|D,"Kernel launch overhead is typically ~5–10 μs on NVIDIA GPUs. Consider a training/inference loop dispatching many small kernels. Which of the following statements are correct? (Select all that apply.)"
A-LITTLE-004,arch_perf_model,A,Little's Law / Memory-level parallelism,single,formula_performance,3,implementation,agent_reviewed,1,B,"Little's Law states Concurrency = Bandwidth × Latency. Suppose an A100 has peak HBM bandwidth ≈ 2 TB/s and average DRAM load latency ≈ 400 ns, and each in-flight load fetches a 128-byte sector. Approximately how many 128-byte loads must be simultaneously in flight (aggregated across all SMs) to saturate HBM bandwidth?"
A-MEM-005,arch_perf_model,A,GPU memory hierarchy / bandwidth / access rules,multiple,concept_boundary,3,implementation,agent_reviewed,1,B|C|D,"Which of the following statements about the A100 (sm_80) memory hierarchy are correct? (Select all that apply.)"
A-NVLINK-014,arch_perf_model,A,NVLink vs PCIe / inter-GPU collectives,single,performance_diagnosis,3,systems,agent_reviewed,1,A,"You have two 8-GPU setups: (i) H100 SXM5 with NVLink 4.0 (per-GPU aggregate ≈ 900 GB/s bidirectional) and (ii) H100 PCIe cards on PCIe Gen4 x16 (≈ 25 GB/s per-direction between neighbors, no NVLink). You run ring-AllReduce on a 1 GiB FP16 tensor. Which comparison is closest to correct in the bandwidth-bound regime?"
A-OCC-003,arch_perf_model,A,Occupancy / Register pressure,single,performance_diagnosis,3,implementation,agent_reviewed,1,B,"A CUDA kernel targeting sm_80 is compiled with `nvcc -arch=sm_80 --ptxas-options=-v` and prints `ptxas info : Used 96 registers, 384 bytes cmem[0]`. The launch config is `<<<gridDim, 256>>>`. A100 provides 65,536 32-bit registers per SM, a max of 2,048 threads (64 warps) per SM, and up to 32 concurrent blocks per SM. Ignoring shared-memory and block-count limits, what is the register-limited theoretical occupancy?"
A-PARA-024,arch_perf_model,A,Parallelism taxonomy (ILP / DLP / TLP),multiple,concept_boundary,3,textbook,agent_reviewed,1,A|B|D,"Which of the following statements correctly connect a parallelism level (ILP / DLP / TLP) to an architectural mechanism? (Select all that apply.)"
A-PCIE-013,arch_perf_model,A,PCIe transfer / host-device data movement,single,formula_performance,3,implementation,agent_reviewed,1,A,"A host-to-device H2D transfer of a pinned 4 GiB buffer is issued to a GPU connected via PCIe Gen4 x16 (practical unidirectional ≈ 25 GB/s in production, 32 GB/s theoretical). Ignoring driver setup overheads, roughly how long is the H2D transfer alone, and what is the implication for overlapping with a kernel that runs 40 ms on the same buffer?"
A-PEAK-018,arch_perf_model,A,Theoretical peak vs sustained throughput,single,performance_diagnosis,3,systems,agent_reviewed,1,B,"You measure 220 TFLOP/s on a cuBLAS FP16 GEMM (M=N=K=8192) on an A100 SXM, versus a theoretical peak of 312 TFLOP/s. Nsight Compute shows 78% Tensor Core utilization and HBM is not saturated. Which explanation is most consistent with the data?"
A-POWER-029,arch_perf_model,A,Power / thermal throttling,single,performance_diagnosis,4,systems,agent_reviewed,1,D,"Nsight Systems shows a data-center GPU reaching 300 TFLOP/s in a short FP16 GEMM burst, but sustained throughput over 30 s stabilizes at 240 TFLOP/s. GPU telemetry reports a TDP cap of 400 W and a performance-state drop from P0 to P2. Which explanation best fits the data?"
A-REGSPILL-025,arch_perf_model,A,Register spill / local memory penalty,single,performance_diagnosis,4,implementation,agent_reviewed,1,C,"You compile a CUDA kernel and ptxas reports `128 bytes spill stores, 128 bytes spill loads`. Which statement about GPU register spills is correct?"
A-RIDGE-007,arch_perf_model,A,Ridge point / precision-dependent Roofline,single,formula_performance,2,textbook,agent_reviewed,1,B,"H100 SXM5 published peaks (dense, non-sparse): FP16 Tensor Core ≈ 989 TFLOP/s, FP8 Tensor Core ≈ 1979 TFLOP/s, HBM3 bandwidth ≈ 3.35 TB/s. Which statement about ridge points on this GPU is correct?"
A-SIMT-011,arch_perf_model,A,SIMD vs SIMT execution model,multiple,concept_boundary,2,textbook,agent_reviewed,1,A|B,"Which of the following statements distinguishing CPU SIMD (e.g., AVX-512) from NVIDIA GPU SIMT (warp-based) execution are correct? (Select all that apply.)"
A-STREAM-026,arch_perf_model,A,CUDA streams / H2D-kernel-D2H overlap,single,systems_dataflow,3,systems,agent_reviewed,1,D,"You process N chunks of equal size. Each chunk requires 10 ms H2D, 20 ms kernel, and 10 ms D2H. The GPU has two DMA copy engines (one H2D, one D2H), one kernel engine, and you use N ≥ 3 CUDA streams so H2D of chunk i+1, kernel of chunk i, and D2H of chunk i−1 can overlap. What is the approximate steady-state wall time per chunk, and what limits it?"
A-TC-023,arch_perf_model,A,Tensor Core density vs FP32 SIMT,single,formula_performance,4,implementation,agent_reviewed,1,D,"A100 SXM published peaks: FP32 CUDA-core ≈ 19.5 TFLOP/s; FP16 Tensor Core ≈ 312 TFLOP/s (dense). A GEMM kernel with sufficient AI can, in principle, choose between the two paths. Which statement about the Tensor Core vs CUDA-core throughput ratio is correct?"
A-THROUGH-017,arch_perf_model,A,Latency vs throughput,multiple,concept_boundary,2,textbook,agent_reviewed,1,B|C|D,"Which of the following correctly distinguish latency from throughput in an architectural context? (Select all that apply.)"
A-WARP-012,arch_perf_model,A,Warp / Block / Grid semantics,single,concept_boundary,2,textbook,agent_reviewed,1,A,"Which statement correctly describes the relationship among threads, warps, blocks and grids on NVIDIA GPUs (compute capability 8.0)?"
B-ALIAS-007,compiler_basics,B,Alias analysis / soundness,multiple,concept_boundary,3,implementation,agent_reviewed,1,B|C|D,"Which of the following statements about alias analysis in a compiler are correct? (Select all that apply.)"
B-CFG-003,compiler_basics,B,Basic block / CFG definition,single,precise_definition,2,textbook,agent_reviewed,1,D,"Which statement correctly defines a basic block (BB) and the corresponding control-flow graph (CFG)?"
B-CFOLD-009,compiler_basics,B,Constant folding,single,ir_transformation,2,textbook,agent_reviewed,1,B,"Constant folding transforms the IR shown above by evaluating arithmetic on compile-time constants. Which statement about constant folding is correct?"
B-CPROP-010,compiler_basics,B,Sparse Conditional Constant Propagation (SCCP),single,ir_transformation,3,implementation,agent_reviewed,1,B,"Sparse Conditional Constant Propagation (SCCP) achieves better precision than plain constant propagation by tracking both constant lattice values and edge reachability. Which statement about SCCP's advantage over plain constant propagation on the code above is correct?"
B-CSE-012,compiler_basics,B,Common Subexpression Elimination / availability,single,ir_transformation,3,implementation,agent_reviewed,2,C,"The IR performs two loads from the same pointer %p, with a `call @sink` between them that may write to memory. A naive CSE would replace the second load with the first. Which statement is correct?"
B-DATAFLOW-022,compiler_basics,B,Data-flow lattice / meet-over-paths,single,precise_definition,3,implementation,agent_reviewed,1,C,"In classical data-flow analysis, the meet operator combines information at a join point (multiple predecessor paths). Which pairing of analysis and meet operator is correct?"
B-DCE-011,compiler_basics,B,Dead Code Elimination boundaries,multiple,concept_boundary,3,implementation,agent_reviewed,1,C|D,"Which statements about Dead Code Elimination (DCE) and its relationship to unreachable code elimination are correct? (Select all that apply.)"
B-DEFUSE-006,compiler_basics,B,Def-use chain in SSA,single,precise_definition,2,textbook,agent_reviewed,1,C,"In SSA form, why are def-use chains typically simpler and cheaper to compute than in a non-SSA IR?"
B-DOM-004,compiler_basics,B,Dominance / post-dominance / dominator tree,multiple,concept_boundary,3,implementation,agent_reviewed,1,B|C|D,"Which statements about dominance and post-dominance in a CFG with a distinguished entry are correct? (Select all that apply.)"
B-DOMTREE-025,compiler_basics,B,Dominator tree properties,single,precise_definition,3,implementation,agent_reviewed,1,D,"Which statement correctly describes the dominator tree of a CFG and its use in SSA construction?"
B-ESCAPE-008,compiler_basics,B,Escape analysis,single,precise_definition,3,implementation,agent_reviewed,1,D,"Which statement most precisely describes escape analysis and the optimizations it enables?"
B-INLINE-014,compiler_basics,B,Inlining trade-offs,multiple,concept_boundary,3,implementation,agent_reviewed,1,B|C|D,"Which statements about function inlining as a compiler optimization are correct? (Select all that apply.)"
B-INSTSEL-016,compiler_basics,B,Instruction selection / tree pattern matching,single,precise_definition,3,implementation,agent_reviewed,1,B,"Which statement most precisely describes instruction selection via tree/DAG pattern matching?"
B-JITAOT-019,compiler_basics,B,JIT vs AOT compilation,multiple,concept_boundary,3,systems,agent_reviewed,1,B|C,"Which statements correctly compare Just-in-Time (JIT) and Ahead-of-Time (AOT) compilation? (Select all that apply.)"
B-LICM-013,compiler_basics,B,Loop Invariant Code Motion safety conditions,single,ir_transformation,4,implementation,agent_reviewed,2,D,"The expression `%inv = sdiv i32 %a, %b` is loop-invariant. Under LICM, which conditions must hold for it to be safe to hoist `%inv` to the loop preheader?"
B-LIVE-005,compiler_basics,B,Liveness analysis (backward data-flow),single,ir_transformation,3,implementation,agent_reviewed,1,D,"Using standard liveness data-flow equations (live_in[I] = (live_out[I] − def[I]) ∪ use[I]), which variables are live immediately BEFORE instruction I1?"
B-LOOPINV-023,compiler_basics,B,Loop invariance under redefinition / edge cases,single,ir_transformation,4,implementation,agent_reviewed,1,C,"Is `%e = mul i32 %s, 2` loop-invariant in the loop shown, and can it be hoisted to bb_preheader?"
B-PARTIAL-018,compiler_basics,B,Partial evaluation / specialization,single,precise_definition,3,textbook,agent_reviewed,1,A,"Which statement most precisely defines partial evaluation as a compilation technique?"
B-PATTERN-017,compiler_basics,B,Pattern rewriting vs peephole,multiple,concept_boundary,3,implementation,agent_reviewed,1,B|C|D,"Which statements about pattern rewriting vs peephole optimization are correct? (Select all that apply.)"
B-PHI-002,compiler_basics,B,Phi node placement at CFG merges,single,ir_transformation,3,implementation,agent_reviewed,1,D,"In the CFG shown, block bb_merge has two predecessors bb_then and bb_else, each defining a version of x (%x1 in bb_then, %x2 in bb_else). Which is the correct SSA representation of the merged value used in bb_merge?"
B-REGALLOC-015,compiler_basics,B,Register allocation via graph coloring,single,precise_definition,3,implementation,agent_reviewed,1,D,"In the classical graph-coloring formulation of register allocation, what do the nodes, edges, K colors, and 'spill' correspond to?"
B-SEMPRES-021,compiler_basics,B,Semantic preservation in optimization,multiple,concept_boundary,4,systems,agent_reviewed,1,A|C|D,"Which statements about semantic preservation in compiler optimization are correct? (Select all that apply.)"
B-SOUND-020,compiler_basics,B,Soundness of static analysis,multiple,concept_boundary,4,implementation,agent_reviewed,1,A|B|D,"Which statements about soundness and precision in static compiler analyses are correct? (Select all that apply.)"
B-SSA-001,compiler_basics,B,SSA form definition,single,precise_definition,2,textbook,agent_reviewed,1,C,"Which statement correctly defines Static Single Assignment (SSA) form?"
B-SSAFORM-024,compiler_basics,B,Out-of-SSA translation / phi lowering,single,ir_transformation,4,implementation,agent_reviewed,1,D,"During out-of-SSA translation, a compiler lowers phi functions into copies at predecessor block ends. Which statement about this lowering is correct, particularly regarding the swap / lost-copy issue?"
C-BUFFER-012,graph_tensor_ir,C,Buffer vs. tensor semantics / Bufferization,single,ir_transformation,3,implementation,agent_reviewed,2,C,"The IR is transformed from a linalg-on-tensor form to a linalg-on-memref form by MLIR's bufferization. Which pair of properties best describes the tensor-form and memref-form semantics, respectively?"
C-CANON-006,graph_tensor_ir,C,Canonicalization / arith folding in MLIR,single,ir_transformation,2,implementation,agent_reviewed,1,C,"The MLIR canonicalization pass rewrites the fragment BEFORE into the fragment AFTER. Which statement best characterizes what canonicalization is doing here?"
C-DCE-013,graph_tensor_ir,C,Dead code elimination on ops with side effects,single,ir_transformation,3,implementation,agent_reviewed,2,B,"A tensor-IR pass tries to run DCE and removes both `linalg.copy` (writes to %B) and `linalg.matmul` (returns a used %C) below. Which statement most accurately describes what DCE is allowed to remove in this snippet?"
C-DIALECT-016,graph_tensor_ir,C,MLIR: Operation / Region / Block / Value / Type,single,precise_definition,2,textbook,agent_reviewed,2,A,"Consider MLIR's core structural vocabulary. Which statement most accurately describes the relationship among Operation, Region, Block, and Value?"
C-EAGER-015,graph_tensor_ir,C,Eager vs. static / define-by-run vs. define-and-run,single,concept_boundary,2,textbook,agent_reviewed,2,B,"Eager execution and static graph capture describe two different points in the design space of ML frameworks. Which statement most accurately captures the key distinction?"
C-GRAPH-025,graph_tensor_ir,C,Dataflow graph properties,multiple,precise_definition,2,textbook,agent_reviewed,2,B|C|D,"In the standard formulation of a deep-learning computational graph (dataflow graph), which of the following are true properties? (Select all that apply.)"
C-IRLEVEL-005,graph_tensor_ir,C,Operator-level IR vs. Loop / Tensor-expression IR,multiple,concept_boundary,3,systems,agent_reviewed,1,B|C|D,"Which of the following statements correctly distinguish operator-level IR (e.g., XLA HLO, ONNX) from loop-/tensor-expression-level IR (e.g., TVM TensorIR, MLIR linalg or affine)? (Select all that apply.)"
C-IRLEVELS-019,graph_tensor_ir,C,Three-layer IR relationship (Graph / Tensor / Loop),multiple,concept_boundary,3,systems,agent_reviewed,1,B|C|D,"In a typical deep learning compiler organized around three IR layers — graph-level (e.g., XLA HLO, TVM Relax), tensor-expression-level (e.g., linalg-on-tensor, TensorIR), and loop-level (affine, scf, low-level loop IR) — which statements are correct about their respective roles? (Select all that apply.)"
C-LAYOUT-002,graph_tensor_ir,C,Layout / Stride / View vs. materialization,single,ir_transformation,4,implementation,agent_reviewed,1,B,"A 4-D tensor `x` has shape `[N=16, C=3, H=224, W=224]` and NCHW-contiguous strides `[150528, 50176, 224, 1]`. Consider producing a same-shape tensor with strides `[150528, 1, 672, 3]` (the standard `torch.channels_last` layout for NCHW-shaped tensors). Which statement about this transformation is correct?"
C-LAYOUTOPT-026,graph_tensor_ir,C,Layout selection / transformation cost,single,concept_boundary,3,systems,agent_reviewed,2,C,"A graph-level pass considers inserting an NCHW->NHWC (channels-last) layout conversion before a convolution because the target GPU's convolution kernel is more efficient in channels-last. Which statement most correctly frames the decision?"
C-LEGALIZE-008,graph_tensor_ir,C,Dialect conversion / Legalization / ConversionTarget,single,ir_transformation,3,implementation,agent_reviewed,2,A,"A pipeline lowers `mydialect.matmul` on `tensor<?x?xf32>` into a `func.call @extern_gemm` on `memref<?x?xf32>`, using MLIR's Dialect Conversion framework. Which statement most accurately characterizes the role of the ConversionTarget and TypeConverter here?"
C-LICM-001,graph_tensor_ir,C,Loop-invariant code motion / Aliasing,single,ir_transformation,3,implementation,agent_reviewed,1,B,"Consider the loop before and after loop-invariant code motion (LICM):  BEFORE: ``` for i in 0..N:   a[i] = b[i] + (c[0] * d[0])   # (c[0] * d[0]) is loop-invariant ``` AFTER: ``` t = c[0] * d[0] for i in 0..N:   a[i] = b[i] + t ``` Which condition is required for this transformation to be semantics-preserving?"
C-LINALG-030,graph_tensor_ir,C,MLIR linalg.generic semantics,multiple,ir_transformation,4,implementation,agent_reviewed,1,A|B|C,"Consider the `linalg.generic` op below expressing a matmul-like reduction. Which of the following statements about its semantics are correct? (Select all that apply.)"
C-LOOPIR-023,graph_tensor_ir,C,Loop-level IR: affine analysis and loop reordering,single,ir_transformation,4,implementation,agent_reviewed,1,D,"Consider the loop nest below (loop-level IR). The pass wants to interchange the `i` and `j` loops. Which condition is required for the swap to preserve semantics?"
C-LOWER-007,graph_tensor_ir,C,Multi-level lowering: linalg -> loops -> memref,single,ir_transformation,3,implementation,agent_reviewed,1,B,"The IR is progressively lowered from linalg-on-tensor to explicit scf loops on memref. Which of the following best describes the intent of this lowering chain?"
C-MATERIALIZE-027,graph_tensor_ir,C,Materialization semantics in tensor IR,single,precise_definition,2,implementation,agent_reviewed,1,D,"Which of the following is the most precise definition of 'materialization' in a tensor IR?"
C-OPIR-028,graph_tensor_ir,C,Operator-level IR examples and features,multiple,concept_boundary,2,systems,agent_reviewed,1,A|B|D,"Which of the following statements about operator-level (graph-level) IRs used in production ML compilers are correct? (Select all that apply.)"
C-PROD-017,graph_tensor_ir,C,Producer / Consumer relation and fusion boundary,single,concept_boundary,3,implementation,agent_reviewed,1,C,"Two ops form a producer-consumer relation: op P produces tensor `t`, op C consumes `t`. Which condition is generally required for fusing P and C into a single kernel that avoids materializing `t` in memory?"
C-REGION-021,graph_tensor_ir,C,MLIR Region and structured control flow,single,precise_definition,2,textbook,agent_reviewed,1,A,"In MLIR, structured control-flow operations such as `scf.for` and `scf.if` carry Regions in their operands' operations. Which statement most accurately characterizes the role of a Region in this design?"
C-SHAPE-004,graph_tensor_ir,C,Static shape specialization / Dynamic vs. symbolic shape,single,ir_transformation,3,systems,agent_reviewed,1,C,"Consider the following graph-level IR transformation where a symbolic-shape function is specialized to concrete shapes at compile time:  BEFORE (symbolic): ``` func f(x : Tensor[N, K, f16], w : Tensor[K, M, f16]) -> Tensor[N, M, f16]:     return matmul(x, w) ``` AFTER (specialized to N=32, K=4096, M=4096): ``` func f_32x4096x4096(x : Tensor[32, 4096, f16], w : Tensor[4096, 4096, f16]) -> Tensor[32, 4096, f16]:     return matmul(x, w) ``` Which statement about this specialization is correct?"
C-SHAPEINFER-029,graph_tensor_ir,C,Shape inference in graph IR,single,concept_boundary,3,implementation,agent_reviewed,2,B,"A graph-IR pass performs shape inference on the following computation, where `N` and `D` are symbolic and `x`, `w` are inputs. Which statement most accurately describes what shape inference can and cannot conclude?"
C-SSA-003,graph_tensor_ir,C,SSA / Functionalization of in-place tensor mutations,single,ir_transformation,3,implementation,agent_reviewed,1,B,"A compiler ingests the following pseudo-IR fragment (with an in-place op) and converts it to a functional / SSA form before running fusion, DCE, and CSE:  BEFORE (imperative, in-place): ``` %x = ... aten::mul_(%x, 2.0)     # in-place: mutates %x %y = aten::add(%x, 1.0) return %y ``` AFTER (functionalized): ``` %x0 = ... %x1 = aten::mul(%x0, 2.0)   # non-mutating %y  = aten::add(%x1, 1.0) return %y ``` Which statement best explains why compilers perform this functionalization?"
C-STABLEHLO-014,graph_tensor_ir,C,StableHLO / dynamic shape / bounds,multiple,ir_transformation,3,systems,agent_reviewed,1,A|C,"Consider StableHLO as a portable, framework-independent operator set. Which of the following statements about StableHLO's design regarding shapes and portability are correct? (Select all that apply.)"
C-STRIDE-020,graph_tensor_ir,C,Stride / indexing formula,single,precise_definition,3,implementation,agent_reviewed,2,A,"A tensor `x` has shape `[4, 3, 5]` and strides `[15, 0, 1]` (with element-stride units). The middle dim has stride 0 — a common encoding for broadcast. What is the linear element offset for `x[2, 1, 3]`, and what does the zero stride imply about physical storage?"
C-SYMSHAPE-018,graph_tensor_ir,C,Symbolic shape vs. dynamic shape,single,concept_boundary,3,implementation,agent_reviewed,2,C,"In a tensor compiler, 'symbolic shape' and 'dynamic shape' are related but distinct concepts. Which pair of characterizations is correct?"
C-TE-022,graph_tensor_ir,C,Tensor Expression as a compute description,single,precise_definition,2,textbook,agent_reviewed,2,C,"In Halide/TVM, a Tensor Expression describes computation such as `C[i, j] = tvm.sum(A[i, k] * B[k, j], axis=k)`. Which statement most accurately captures what a Tensor Expression is?"
C-TILING-011,graph_tensor_ir,C,Tensor Expression / Compute-Schedule separation (Halide-style),single,ir_transformation,3,implementation,agent_reviewed,2,A,"The following pseudo-schedule tiles the outer two loops of a matmul TE. Which of the following most accurately captures the effect of the schedule on the compute expression and the generated loop nest?"
C-TYPECONV-024,graph_tensor_ir,C,Type conversion in dialect conversion,single,ir_transformation,4,implementation,agent_reviewed,1,B,"A partial conversion legalizes ops in a tensor-typed IR to a memref-typed IR, but some ops in the same function are legal (or must remain) at the tensor level. What is the role of the TypeConverter's `addSourceMaterialization` and `addTargetMaterialization` hooks in making this work?"
C-VERIFY-009,graph_tensor_ir,C,IR verification / Op verifier,single,ir_transformation,3,implementation,agent_reviewed,2,D,"During a compiler pass, the following IR is produced and MLIR's verifier reports an error at the marked line. What is the most accurate diagnosis?"
C-VIEW-010,graph_tensor_ir,C,View vs. materialization / Reshape and transpose,single,ir_transformation,3,implementation,agent_reviewed,2,B,"A tensor `x` has shape `[2, 3, 4]` and NCHW-style contiguous strides `[12, 4, 1]`. Consider three requested operations against `x`:  (i) `x.transpose(1, 2)` — swap the middle two dims, producing shape `[2, 4, 3]`. (ii) `x.reshape(6, 4)` — combine the first two dims. (iii) `x.reshape(4, 6)` — combine dims of different fastest-varying orders.  Which statement correctly classifies each as a view (V) or a materialization (M)?"
D-AOT-004,pytorch_compiler,D,AOTAutograd / Functionalization of in-place ops,single,code_implementation,3,implementation,agent_reviewed,1,A,"Consider the compiled function below with an in-place op on an input tensor `x`. Which of the following best describes how AOTAutograd/functionalization treats `x.add_(1.0)` before Inductor codegen?"
D-AOTAG-011,pytorch_compiler,D,AOTAutograd joint forward+backward graph,single,code_implementation,3,implementation,agent_reviewed,2,C,"Consider the compiled model below with backward enabled. Which statement most accurately describes what AOTAutograd captures for this program?"
D-AOTI-020,pytorch_compiler,D,AOTInductor C++ artifact,single,precise_definition,3,systems,agent_reviewed,1,B,"Which statement most accurately describes what AOTInductor produces and how it is deployed?"
D-AOTIRT-021,pytorch_compiler,D,AOTInductor runtime behavior on shape mismatch,multiple,concept_boundary,4,systems,agent_reviewed,1,A|B|D,"An AOTInductor artifact was produced from an ExportedProgram with sequence dim declared dynamic via `Dim(""seq"", min=1, max=8192)`. Which statements about its runtime behavior are correct? (Select all that apply.)"
D-AUTODYN-009,pytorch_compiler,D,Automatic dynamic shape promotion,single,performance_diagnosis,3,systems,agent_reviewed,1,B,"A user compiles a function with defaults and calls it with sequence lengths 128, 256, 512, 1024, ...; the recompile log shows several size-specialized recompiles, then a message that a dim was auto-promoted to dynamic and no further recompiles for that dim occur. Which reading is most accurate?"
D-BREAK-005,pytorch_compiler,D,Data-dependent control flow / Graph break rewrite,single,code_implementation,3,implementation,agent_reviewed,1,C,"The following function produces a graph-break log when compiled. Which option both correctly identifies the cause and gives a valid Dynamo-tracable rewrite?"
D-BWSHAPE-033,pytorch_compiler,D,Backward graph shapes / joint graph partitioning,single,code_implementation,4,implementation,agent_reviewed,2,C,"Consider the compiled model below (a linear + activation + linear). Which best describes how AOTAutograd's partitioner typically decides which forward-pass activations to save for the backward and which to recompute?"
D-CACHE-024,pytorch_compiler,D,torch.compile compilation cache invalidation,multiple,concept_boundary,3,systems,agent_reviewed,1,A|B|C,"Which of the following changes are expected to cause a torch.compile cache miss (and thus a fresh compile) rather than being served from the compilation cache? (Select all that apply.)"
D-COMPILET-032,pytorch_compiler,D,Compile time vs. steady-state performance,single,performance_diagnosis,2,systems,agent_reviewed,2,A,"A user reports that a short-running script becomes slower under `torch.compile(mode='max-autotune')` than under eager mode, while a long-running training loop with the same model becomes faster with `torch.compile`. Which is the most likely explanation?"
